-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.27%       1.842ms        91.80%     623.000ms     311.500ms       0.000us         0.00%     222.187ms     111.094ms           0 b           0 b           0 b    -619.75 Mb             2  
                                Training Optimizer step        -6.10%  -41403.349us        77.76%     527.711ms     263.855ms       0.000us         0.00%       9.407ms       4.703ms           0 b           0 b    -192.23 Mb      -6.00 Kb             2  
                                             aten::item         0.09%     578.666us        75.47%     512.212ms     908.177us       0.000us         0.00%       7.520us       0.013us           0 b           0 b           0 b           0 b           564  
                              aten::_local_scalar_dense         0.03%     200.123us        75.39%     511.633ms     907.151us       7.520us         0.00%       7.520us       0.013us           0 b           0 b           0 b           0 b           564  
                                  cudaStreamSynchronize        28.73%     195.003ms        75.35%     511.366ms     127.841ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          cudaHostAlloc        55.32%     375.436ms        55.32%     375.436ms      22.084ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb            17  
                                 Training Backward pass         6.59%      44.748ms         8.23%      55.837ms      27.918ms       0.000us         0.00%       4.800us       2.400us         -16 b         -16 b      -8.11 Gb      -8.04 Gb             2  
                                     Train Forward pass         1.46%       9.934ms         5.17%      35.057ms      17.528ms       0.000us         0.00%     202.734ms     101.367ms          16 b           8 b       8.72 Gb      -4.28 Gb             2  
                                       cudaLaunchKernel         2.87%      19.454ms         2.87%      19.454ms      10.175us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1912  
autograd::engine::evaluate_function: ConvolutionBack...         0.22%       1.462ms         2.73%      18.495ms     196.756us       0.000us         0.00%     265.779ms       2.827ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                           aten::conv2d         0.11%     714.802us         2.63%      17.868ms      95.045us       0.000us         0.00%     244.300ms       1.299ms           0 b           0 b       7.58 Gb           0 b           188  
                                   ConvolutionBackward0         0.08%     575.682us         2.42%      16.446ms     174.960us       0.000us         0.00%     260.545ms       2.772ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.40%       9.490ms         2.34%      15.871ms     168.835us     259.438ms        30.39%     260.545ms       2.772ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.17%       1.125ms         2.24%      15.211ms     165.332us       0.000us         0.00%      51.490ms     559.669us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
                               Optimizer.step#Adam.step         1.13%       7.665ms         2.20%      14.961ms       7.481ms       0.000us         0.00%       8.400ms       4.200ms           0 b          -8 b           0 b    -191.98 Mb             2  
                                CudnnBatchNormBackward0         0.07%     507.403us         2.08%      14.085ms     153.098us       0.000us         0.00%      51.490ms     559.669us           0 b           0 b       2.50 Gb           0 b            92  
                                               aten::to         0.07%     508.965us         2.01%      13.668ms      37.756us       0.000us         0.00%      51.585ms     142.501us           0 b           0 b       7.74 Gb           0 b           362  
                        aten::cudnn_batch_norm_backward         0.71%       4.812ms         2.00%      13.578ms     147.583us      51.490ms         6.03%      51.490ms     559.669us           0 b           0 b       2.50 Gb           0 b            92  
                                         aten::_to_copy         0.22%       1.510ms         1.94%      13.159ms      51.002us       0.000us         0.00%      51.585ms     199.943us           0 b           0 b       7.74 Gb           0 b           258  
autograd::engine::evaluate_function: ToCopyBackward0...         0.10%     708.318us         1.48%      10.060ms      85.256us       0.000us         0.00%      18.977ms     160.820us           0 b           0 b     960.66 Mb      -3.07 Gb           118  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 678.667ms
Self CUDA time total: 853.696ms
