-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.22%       1.462ms         2.73%      18.495ms     196.756us       0.000us         0.00%     265.779ms       2.827ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                   ConvolutionBackward0         0.08%     575.682us         2.42%      16.446ms     174.960us       0.000us         0.00%     260.545ms       2.772ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.40%       9.490ms         2.34%      15.871ms     168.835us     259.438ms        30.39%     260.545ms       2.772ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
                                           aten::conv2d         0.11%     714.802us         2.63%      17.868ms      95.045us       0.000us         0.00%     244.300ms       1.299ms           0 b           0 b       7.58 Gb           0 b           188  
                                          ProfilerStep*         0.27%       1.842ms        91.80%     623.000ms     311.500ms       0.000us         0.00%     222.187ms     111.094ms           0 b           0 b           0 b    -619.75 Mb             2  
                                     Train Forward pass         0.00%       0.000us         0.00%       0.000us       0.000us     203.304ms        23.81%     203.304ms     101.652ms           0 b           0 b           0 b           0 b             2  
                                     Train Forward pass         1.46%       9.934ms         5.17%      35.057ms      17.528ms       0.000us         0.00%     202.734ms     101.367ms          16 b           8 b       8.72 Gb      -4.28 Gb             2  
                                      aten::convolution         0.11%     720.167us         1.00%       6.816ms      72.510us       0.000us         0.00%     115.388ms       1.228ms           0 b           0 b       2.93 Gb           0 b            94  
                                     aten::_convolution         0.07%     471.579us         0.90%       6.096ms      64.849us       0.000us         0.00%     115.388ms       1.228ms           0 b           0 b       2.93 Gb           0 b            94  
                                aten::cudnn_convolution         0.51%       3.439ms         0.82%       5.587ms      59.432us     112.801ms        13.21%     112.801ms       1.200ms           0 b           0 b       2.93 Gb       2.93 Gb            94  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      72.962ms         8.55%      72.962ms     135.617us           0 b           0 b           0 b           0 b           538  
                                            aten::copy_         0.30%       2.005ms         1.46%       9.916ms      36.727us      57.217ms         6.70%      58.186ms     215.503us           0 b           0 b           0 b      -9.38 Mb           270  
                                               aten::to         0.07%     508.965us         2.01%      13.668ms      37.756us       0.000us         0.00%      51.585ms     142.501us           0 b           0 b       7.74 Gb           0 b           362  
                                         aten::_to_copy         0.22%       1.510ms         1.94%      13.159ms      51.002us       0.000us         0.00%      51.585ms     199.943us           0 b           0 b       7.74 Gb           0 b           258  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.17%       1.125ms         2.24%      15.211ms     165.332us       0.000us         0.00%      51.490ms     559.669us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
                                CudnnBatchNormBackward0         0.07%     507.403us         2.08%      14.085ms     153.098us       0.000us         0.00%      51.490ms     559.669us           0 b           0 b       2.50 Gb           0 b            92  
                        aten::cudnn_batch_norm_backward         0.71%       4.812ms         2.00%      13.578ms     147.583us      51.490ms         6.03%      51.490ms     559.669us           0 b           0 b       2.50 Gb           0 b            92  
void cudnn::bn_bw_1C11_kernel_new<__half, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      41.950ms         4.91%      41.950ms       1.613ms           0 b           0 b           0 b           0 b            26  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      34.955ms         4.09%      34.955ms     130.430us           0 b           0 b           0 b           0 b           268  
sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.194ms         3.77%      32.194ms       3.219ms           0 b           0 b           0 b           0 b            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 678.667ms
Self CUDA time total: 853.696ms
