-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.17%       1.096ms         2.47%      16.349ms     173.927us       0.000us         0.00%     266.213ms       2.832ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                   ConvolutionBackward0         0.08%     522.412us         2.23%      14.722ms     156.615us       0.000us         0.00%     260.958ms       2.776ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.30%       8.595ms         2.15%      14.199ms     151.057us     259.856ms        30.16%     260.958ms       2.776ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
                                           aten::conv2d         0.10%     674.126us         2.50%      16.564ms      88.107us       0.000us         0.00%     244.781ms       1.302ms           0 b           0 b       7.58 Gb           0 b           188  
                                          ProfilerStep*         0.61%       4.006ms        94.93%     627.712ms     313.856ms       0.000us         0.00%     222.220ms     111.110ms           0 b           0 b           0 b    -619.75 Mb             2  
                                     Train Forward pass         0.00%       0.000us         0.00%       0.000us       0.000us     203.423ms        23.61%     203.423ms     101.711ms           0 b           0 b           0 b           0 b             2  
                                     Train Forward pass         1.47%       9.717ms         4.90%      32.379ms      16.190ms       0.000us         0.00%     202.851ms     101.426ms          16 b          16 b       8.72 Gb      -4.28 Gb             2  
                                      aten::convolution         0.09%     618.480us         0.95%       6.293ms      66.946us       0.000us         0.00%     115.631ms       1.230ms           0 b           0 b       2.93 Gb           0 b            94  
                                     aten::_convolution         0.07%     474.445us         0.86%       5.674ms      60.367us       0.000us         0.00%     115.631ms       1.230ms           0 b           0 b       2.93 Gb           0 b            94  
                                aten::cudnn_convolution         0.48%       3.174ms         0.78%       5.162ms      54.920us     113.029ms        13.12%     113.029ms       1.202ms           0 b           0 b       2.93 Gb       2.93 Gb            94  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      73.082ms         8.48%      73.082ms     135.841us           0 b           0 b           0 b           0 b           538  
                                            aten::copy_         0.28%       1.846ms         0.58%       3.851ms      14.262us      57.010ms         6.62%      57.978ms     214.733us           0 b           0 b           0 b      -9.38 Mb           270  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.15%     970.821us         0.97%       6.384ms      69.396us       0.000us         0.00%      51.611ms     560.994us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
                                CudnnBatchNormBackward0         0.06%     396.190us         0.82%       5.414ms      58.844us       0.000us         0.00%      51.611ms     560.994us           0 b           0 b       2.50 Gb           0 b            92  
                        aten::cudnn_batch_norm_backward         0.33%       2.174ms         0.76%       5.017ms      54.538us      51.611ms         5.99%      51.611ms     560.994us           0 b           0 b       2.50 Gb           0 b            92  
                                               aten::to         0.07%     489.203us         1.11%       7.356ms      20.320us       0.000us         0.00%      51.399ms     141.985us           0 b           0 b       7.74 Gb           0 b           362  
                                         aten::_to_copy         0.22%       1.428ms         1.04%       6.866ms      26.614us       0.000us         0.00%      51.399ms     199.220us           0 b           0 b       7.74 Gb           0 b           258  
void cudnn::bn_bw_1C11_kernel_new<__half, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      42.045ms         4.88%      42.045ms       1.617ms           0 b           0 b           0 b           0 b            26  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      34.924ms         4.05%      34.924ms     130.314us           0 b           0 b           0 b           0 b           268  
sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.209ms         3.74%      32.209ms       3.221ms           0 b           0 b           0 b           0 b            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 661.241ms
Self CUDA time total: 861.619ms
