-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.61%       4.006ms        94.93%     627.712ms     313.856ms       0.000us         0.00%     222.220ms     111.110ms           0 b           0 b           0 b    -619.75 Mb             2  
                                Training Optimizer step        -0.45%   -2969.367us        83.57%     552.569ms     276.284ms       0.000us         0.00%       9.369ms       4.685ms           0 b           0 b    -192.23 Mb      -6.00 Kb             2  
                                             aten::item         0.08%     554.935us        80.31%     531.034ms     944.900us       0.000us         0.00%       3.904us       0.007us           0 b           0 b           0 b           0 b           562  
                              aten::_local_scalar_dense         0.02%     154.822us        80.22%     530.479ms     943.912us       3.904us         0.00%       3.904us       0.007us           0 b           0 b           0 b           0 b           562  
                                  cudaStreamSynchronize        26.08%     172.460ms        80.20%     530.303ms     265.151ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          cudaHostAlloc        54.92%     363.146ms        54.92%     363.146ms      22.697ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                 Training Backward pass         5.69%      37.625ms         5.71%      37.749ms      18.874ms       0.000us         0.00%       4.865us       2.433us         -16 b         -16 b      -8.11 Gb      -8.11 Gb             2  
                                     Train Forward pass         1.47%       9.717ms         4.90%      32.379ms      16.190ms       0.000us         0.00%     202.851ms     101.426ms          16 b          16 b       8.72 Gb      -4.28 Gb             2  
                               Optimizer.step#Adam.step         1.70%      11.211ms         2.85%      18.839ms       9.420ms       0.000us         0.00%       8.404ms       4.202ms           0 b          -8 b           0 b    -191.98 Mb             2  
                                           aten::conv2d         0.10%     674.126us         2.50%      16.564ms      88.107us       0.000us         0.00%     244.781ms       1.302ms           0 b           0 b       7.58 Gb           0 b           188  
autograd::engine::evaluate_function: ConvolutionBack...         0.17%       1.096ms         2.47%      16.349ms     173.927us       0.000us         0.00%     266.213ms       2.832ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                   ConvolutionBackward0         0.08%     522.412us         2.23%      14.722ms     156.615us       0.000us         0.00%     260.958ms       2.776ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.30%       8.595ms         2.15%      14.199ms     151.057us     259.856ms        30.16%     260.958ms       2.776ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
                                       cudaLaunchKernel         1.64%      10.877ms         1.64%      10.877ms       5.689us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1912  
                                               aten::to         0.07%     489.203us         1.11%       7.356ms      20.320us       0.000us         0.00%      51.399ms     141.985us           0 b           0 b       7.74 Gb           0 b           362  
                                       aten::batch_norm         0.02%     159.405us         1.10%       7.256ms      78.871us       0.000us         0.00%      28.524ms     310.049us           0 b           0 b       2.51 Gb           0 b            92  
                           aten::_batch_norm_impl_index         0.04%     293.235us         1.07%       7.097ms      77.139us       0.000us         0.00%      28.524ms     310.049us           0 b           0 b       2.51 Gb           0 b            92  
                                         aten::_to_copy         0.22%       1.428ms         1.04%       6.866ms      26.614us       0.000us         0.00%      51.399ms     199.220us           0 b           0 b       7.74 Gb           0 b           258  
                                 aten::cudnn_batch_norm         0.45%       2.955ms         1.03%       6.804ms      73.951us      28.524ms         3.31%      28.524ms     310.049us           0 b           0 b       2.51 Gb           0 b            92  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.15%     970.821us         0.97%       6.384ms      69.396us       0.000us         0.00%      51.611ms     560.994us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 661.241ms
Self CUDA time total: 861.619ms
