-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     481.501ms        50.58%     481.501ms     481.501ms           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleBilinea...         0.00%       9.190us         0.03%     171.381us     171.381us       0.000us         0.00%     309.862ms     309.862ms           0 b           0 b      12.00 Kb           0 b             1  
                            UpsampleBilinear2DBackward0         0.00%      15.171us         0.03%     162.191us     162.191us       0.000us         0.00%     309.862ms     309.862ms           0 b           0 b      12.00 Kb           0 b             1  
                     aten::upsample_bilinear2d_backward         0.01%      34.410us         0.03%     147.020us     147.020us     308.914ms        32.45%     309.862ms     309.862ms           0 b           0 b      12.00 Kb    -191.99 Mb             1  
void at::native::(anonymous namespace)::upsample_bil...         0.00%       0.000us         0.00%       0.000us       0.000us     308.914ms        32.45%     308.914ms     308.914ms           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.04%     181.490us         1.28%       6.490ms     721.062us       0.000us         0.00%      83.517ms       9.280ms           0 b           0 b      -1.77 Gb      -3.46 Gb             9  
                                   ConvolutionBackward0         0.75%       3.799ms         1.23%       6.224ms     691.568us       0.000us         0.00%      80.711ms       8.968ms           0 b           0 b       1.69 Gb           0 b             9  
                             aten::convolution_backward         0.22%       1.127ms         0.48%       2.425ms     269.477us      70.759ms         7.43%      80.711ms       8.968ms           0 b           0 b       1.69 Gb     192.01 Mb             9  
                                          ProfilerStep*         7.71%      39.163ms        97.52%     495.493ms     495.493ms       0.000us         0.00%      55.251ms      55.251ms     -18.00 Mb     -18.00 Mb           0 b      -4.79 Gb             1  
                                           aten::conv2d         0.54%       2.731ms         1.20%       6.089ms     676.505us       0.000us         0.00%      28.590ms       3.177ms           0 b           0 b       1.87 Gb           0 b             9  
                                      aten::convolution         0.03%     176.130us         0.66%       3.357ms     373.046us       0.000us         0.00%      28.590ms       3.177ms           0 b           0 b       1.87 Gb           0 b             9  
                                     aten::_convolution         0.33%       1.695ms         0.63%       3.181ms     353.476us       0.000us         0.00%      28.590ms       3.177ms           0 b           0 b       1.87 Gb           0 b             9  
                                aten::cudnn_convolution         0.17%     882.454us         0.25%       1.289ms     143.220us      23.863ms         2.51%      23.863ms       2.651ms           0 b           0 b       1.87 Gb       1.87 Gb             9  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      19.451ms         2.04%      19.451ms       6.484ms           0 b           0 b           0 b           0 b             3  
                                            aten::copy_         0.04%     213.791us         1.88%       9.560ms     869.129us      17.251ms         1.81%      17.251ms       1.568ms           0 b           0 b           0 b           0 b            11  
sm86_xmma_wgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      12.615ms         1.33%      12.615ms       4.205ms           0 b           0 b           0 b           0 b             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      12.319ms         1.29%      12.319ms     559.945us           0 b           0 b           0 b           0 b            22  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%      58.080us         0.09%     438.262us     146.087us       0.000us         0.00%      10.013ms       3.338ms           0 b           0 b    -768.00 Mb      -1.50 Gb             3  
                                CudnnBatchNormBackward0         0.01%      45.620us         0.07%     380.182us     126.727us       0.000us         0.00%      10.013ms       3.338ms           0 b           0 b     768.00 Mb           0 b             3  
                        aten::cudnn_batch_norm_backward         0.03%     174.322us         0.07%     334.562us     111.521us      10.013ms         1.05%      10.013ms       3.338ms           0 b           0 b     768.00 Mb           0 b             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 508.079ms
Self CUDA time total: 951.929ms
