-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         7.71%      39.163ms        97.52%     495.493ms     495.493ms       0.000us         0.00%      55.251ms      55.251ms     -18.00 Mb     -18.00 Mb           0 b      -4.79 Gb             1  
                                             aten::item         0.02%      79.590us        84.80%     430.827ms      11.047ms       0.000us         0.00%       3.904us       0.100us           0 b           0 b           0 b           0 b            39  
                              aten::_local_scalar_dense         0.02%     103.356us        84.78%     430.747ms      11.045ms       3.904us         0.00%       3.904us       0.100us           0 b           0 b           0 b           0 b            39  
                                  cudaStreamSynchronize        84.75%     430.584ms        84.75%     430.584ms      86.117ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                               aten::to         0.15%     744.743us         2.27%      11.528ms     886.731us       0.000us         0.00%       8.705ms     669.621us           0 b           0 b      18.00 Mb           0 b            13  
                                         aten::_to_copy         0.26%       1.312ms         2.12%      10.783ms       5.391ms       0.000us         0.00%       8.705ms       4.353ms           0 b           0 b      18.00 Mb           0 b             2  
                                            aten::copy_         0.04%     213.791us         1.88%       9.560ms     869.129us      17.251ms         1.81%      17.251ms       1.568ms           0 b           0 b           0 b           0 b            11  
                                        cudaMemcpyAsync         1.83%       9.316ms         1.83%       9.316ms       1.863ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
autograd::engine::evaluate_function: ConvolutionBack...         0.04%     181.490us         1.28%       6.490ms     721.062us       0.000us         0.00%      83.517ms       9.280ms           0 b           0 b      -1.77 Gb      -3.46 Gb             9  
                                   ConvolutionBackward0         0.75%       3.799ms         1.23%       6.224ms     691.568us       0.000us         0.00%      80.711ms       8.968ms           0 b           0 b       1.69 Gb           0 b             9  
                                           aten::conv2d         0.54%       2.731ms         1.20%       6.089ms     676.505us       0.000us         0.00%      28.590ms       3.177ms           0 b           0 b       1.87 Gb           0 b             9  
                                      aten::convolution         0.03%     176.130us         0.66%       3.357ms     373.046us       0.000us         0.00%      28.590ms       3.177ms           0 b           0 b       1.87 Gb           0 b             9  
                                     aten::_convolution         0.33%       1.695ms         0.63%       3.181ms     353.476us       0.000us         0.00%      28.590ms       3.177ms           0 b           0 b       1.87 Gb           0 b             9  
     autograd::engine::evaluate_function: MeanBackward1         0.01%      34.040us         0.62%       3.174ms       1.587ms       0.000us         0.00%       1.273ms     636.647us           0 b           0 b     472.47 Mb     -30.00 Kb             2  
                                          MeanBackward1         0.55%       2.818ms         0.62%       3.140ms       1.570ms       0.000us         0.00%       1.273ms     636.647us           0 b           0 b     472.50 Mb           0 b             2  
                              Optimizer.step#AdamW.step         0.35%       1.759ms         0.53%       2.675ms       2.675ms       0.000us         0.00%     119.039us     119.039us           0 b          -4 b           0 b      -1.42 Mb             1  
                             aten::convolution_backward         0.22%       1.127ms         0.48%       2.425ms     269.477us      70.759ms         7.43%      80.711ms       8.968ms           0 b           0 b       1.69 Gb     192.01 Mb             9  
                                       aten::batch_norm         0.00%      20.500us         0.42%       2.136ms     711.950us       0.000us         0.00%       5.881ms       1.960ms           0 b           0 b     768.00 Mb           0 b             3  
                           aten::_batch_norm_impl_index         0.31%       1.560ms         0.42%       2.115ms     705.117us       0.000us         0.00%       5.881ms       1.960ms           0 b           0 b     768.00 Mb           0 b             3  
                                       cudaLaunchKernel         0.36%       1.836ms         0.36%       1.836ms      15.824us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           116  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 508.079ms
Self CUDA time total: 951.929ms
