-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     119.357ms        50.47%     119.357ms     119.357ms           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleBilinea...         0.00%       6.250us         0.09%     118.741us     118.741us       0.000us         0.00%      61.045ms      61.045ms           0 b           0 b      12.00 Kb           0 b             1  
                            UpsampleBilinear2DBackward0         0.01%      11.400us         0.09%     112.491us     112.491us       0.000us         0.00%      61.045ms      61.045ms           0 b           0 b      12.00 Kb           0 b             1  
                     aten::upsample_bilinear2d_backward         0.02%      24.769us         0.08%     101.091us     101.091us      60.807ms        25.71%      61.045ms      61.045ms           0 b           0 b      12.00 Kb     -47.99 Mb             1  
void at::native::(anonymous namespace)::upsample_bil...         0.00%       0.000us         0.00%       0.000us       0.000us      60.807ms        25.71%      60.807ms      60.807ms           0 b           0 b           0 b           0 b             1  
                                          ProfilerStep*        10.65%      13.977ms        97.42%     127.870ms     127.870ms       0.000us         0.00%      22.865ms      22.865ms     -18.00 Mb     -18.00 Mb           0 b      -1.77 Gb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.09%     115.821us         1.52%       1.996ms     221.817us       0.000us         0.00%      22.309ms       2.479ms           0 b           0 b    -644.72 Mb      -1.05 Gb             9  
                                   ConvolutionBackward0         0.06%      77.271us         1.38%       1.810ms     201.164us       0.000us         0.00%      21.605ms       2.401ms           0 b           0 b     433.42 Mb           0 b             9  
                             aten::convolution_backward         0.61%     802.465us         1.32%       1.733ms     192.579us      18.742ms         7.92%      21.605ms       2.401ms           0 b           0 b     433.42 Mb      48.01 Mb             9  
                                            aten::copy_         0.15%     197.242us         5.73%       7.527ms     684.254us       8.867ms         3.75%       8.867ms     806.093us           0 b           0 b           0 b           0 b            11  
                                           aten::conv2d         0.03%      45.821us         0.97%       1.277ms     141.915us       0.000us         0.00%       8.508ms     945.324us           0 b           0 b     622.14 Mb           0 b             9  
                                      aten::convolution         0.09%     119.362us         0.94%       1.231ms     136.824us       0.000us         0.00%       8.508ms     945.324us           0 b           0 b     622.14 Mb           0 b             9  
                                     aten::_convolution         0.09%     116.361us         0.85%       1.112ms     123.561us       0.000us         0.00%       8.508ms     945.324us           0 b           0 b     622.14 Mb           0 b             9  
                                               aten::to         0.06%      72.692us         5.80%       7.618ms     585.987us       0.000us         0.00%       6.718ms     516.789us           0 b           0 b      18.00 Mb           0 b            13  
                                         aten::_to_copy         0.07%      95.280us         5.75%       7.545ms       3.773ms       0.000us         0.00%       6.718ms       3.359ms           0 b           0 b      18.00 Mb           0 b             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.718ms         2.84%       6.718ms       3.359ms           0 b           0 b           0 b           0 b             2  
                                aten::cudnn_convolution         0.46%     603.707us         0.67%     873.410us      97.046us       6.591ms         2.79%       6.591ms     732.304us           0 b           0 b     622.14 Mb     622.14 Mb             9  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       5.008ms         2.12%       5.008ms       1.669ms           0 b           0 b           0 b           0 b             3  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.03%      45.610us         0.23%     298.473us      99.491us       0.000us         0.00%       4.466ms       1.489ms           0 b           0 b    -336.00 Mb    -672.00 Mb             3  
                                CudnnBatchNormBackward0         0.02%      30.920us         0.19%     252.863us      84.288us       0.000us         0.00%       4.466ms       1.489ms           0 b           0 b     336.00 Mb           0 b             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 131.254ms
Self CUDA time total: 236.505ms
