-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        10.65%      13.977ms        97.42%     127.870ms     127.870ms       0.000us         0.00%      22.865ms      22.865ms     -18.00 Mb     -18.00 Mb           0 b      -1.77 Gb             1  
                                             aten::item         0.06%      74.151us        76.69%     100.656ms       2.581ms       0.000us         0.00%       4.064us       0.104us           0 b           0 b           0 b           0 b            39  
                              aten::_local_scalar_dense         0.09%     111.834us        76.63%     100.582ms       2.579ms       4.064us         0.00%       4.064us       0.104us           0 b           0 b           0 b           0 b            39  
                                  cudaStreamSynchronize        76.50%     100.413ms        76.50%     100.413ms      20.083ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                               aten::to         0.06%      72.692us         5.80%       7.618ms     585.987us       0.000us         0.00%       6.718ms     516.789us           0 b           0 b      18.00 Mb           0 b            13  
                                         aten::_to_copy         0.07%      95.280us         5.75%       7.545ms       3.773ms       0.000us         0.00%       6.718ms       3.359ms           0 b           0 b      18.00 Mb           0 b             2  
                                            aten::copy_         0.15%     197.242us         5.73%       7.527ms     684.254us       8.867ms         3.75%       8.867ms     806.093us           0 b           0 b           0 b           0 b            11  
                                        cudaMemcpyAsync         5.57%       7.313ms         5.57%       7.313ms       1.463ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                              Optimizer.step#AdamW.step         1.32%       1.731ms         1.93%       2.538ms       2.538ms       0.000us         0.00%     120.512us     120.512us           0 b          -4 b           0 b      -1.42 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.09%     115.821us         1.52%       1.996ms     221.817us       0.000us         0.00%      22.309ms       2.479ms           0 b           0 b    -644.72 Mb      -1.05 Gb             9  
                                   ConvolutionBackward0         0.06%      77.271us         1.38%       1.810ms     201.164us       0.000us         0.00%      21.605ms       2.401ms           0 b           0 b     433.42 Mb           0 b             9  
                             aten::convolution_backward         0.61%     802.465us         1.32%       1.733ms     192.579us      18.742ms         7.92%      21.605ms       2.401ms           0 b           0 b     433.42 Mb      48.01 Mb             9  
                                           aten::conv2d         0.03%      45.821us         0.97%       1.277ms     141.915us       0.000us         0.00%       8.508ms     945.324us           0 b           0 b     622.14 Mb           0 b             9  
                                      aten::convolution         0.09%     119.362us         0.94%       1.231ms     136.824us       0.000us         0.00%       8.508ms     945.324us           0 b           0 b     622.14 Mb           0 b             9  
                                       cudaLaunchKernel         0.92%       1.207ms         0.92%       1.207ms      10.320us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           117  
                                     aten::_convolution         0.09%     116.361us         0.85%       1.112ms     123.561us       0.000us         0.00%       8.508ms     945.324us           0 b           0 b     622.14 Mb           0 b             9  
                                aten::cudnn_convolution         0.46%     603.707us         0.67%     873.410us      97.046us       6.591ms         2.79%       6.591ms     732.304us           0 b           0 b     622.14 Mb     622.14 Mb             9  
                                             aten::add_         0.22%     290.734us         0.36%     474.726us      16.370us       2.627ms         1.11%       2.627ms      90.591us           0 b           0 b           0 b           0 b            29  
                                       aten::batch_norm         0.01%      11.930us         0.28%     370.444us     123.481us       0.000us         0.00%       2.605ms     868.264us           0 b           0 b     336.00 Mb           0 b             3  
                           aten::_batch_norm_impl_index         0.02%      24.600us         0.27%     358.514us     119.505us       0.000us         0.00%       2.605ms     868.264us           0 b           0 b     336.00 Mb           0 b             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 131.254ms
Self CUDA time total: 236.505ms
