-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      28.371ms        54.57%      28.371ms      28.371ms           0 b           0 b           0 b           0 b             1  
                                          ProfilerStep*        41.66%      18.063ms        85.19%      36.937ms      36.937ms       0.000us         0.00%      11.785ms      11.785ms     -18.00 Mb     -18.00 Mb           0 b    -420.78 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.55%     238.521us         6.85%       2.968ms     197.883us       0.000us         0.00%       8.017ms     534.456us           0 b           0 b     -90.34 Mb    -205.00 Mb            15  
                                   ConvolutionBackward0         0.42%     184.072us         5.98%       2.594ms     172.948us       0.000us         0.00%       7.648ms     509.855us           0 b           0 b     114.66 Mb           0 b            15  
                             aten::convolution_backward         2.92%       1.267ms         5.56%       2.410ms     160.677us       7.648ms        14.71%       7.648ms     509.855us           0 b           0 b     114.66 Mb     112.00 Mb            15  
                                               aten::to         0.19%      83.872us        16.79%       7.281ms     383.222us       0.000us         0.00%       6.320ms     332.636us           0 b           0 b      18.00 Mb           0 b            19  
                                         aten::_to_copy         0.21%      92.530us        16.60%       7.197ms       3.599ms       0.000us         0.00%       6.320ms       3.160ms           0 b           0 b      18.00 Mb           0 b             2  
                                            aten::copy_         0.22%      95.583us        16.18%       7.014ms       3.507ms       6.320ms        12.16%       6.320ms       3.160ms           0 b           0 b           0 b           0 b             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.320ms        12.16%       6.320ms       3.160ms           0 b           0 b           0 b           0 b             2  
                                           aten::conv2d         0.17%      72.880us         3.71%       1.610ms     107.301us       0.000us         0.00%       2.962ms     197.447us           0 b           0 b     142.50 Mb           0 b            15  
                                      aten::convolution         0.44%     188.725us         3.54%       1.537ms     102.443us       0.000us         0.00%       2.962ms     197.447us           0 b           0 b     142.50 Mb           0 b            15  
                                     aten::_convolution         0.26%     113.232us         3.11%       1.348ms      89.861us       0.000us         0.00%       2.962ms     197.447us           0 b           0 b     142.50 Mb           0 b            15  
                                aten::cudnn_convolution         1.83%     791.978us         2.85%       1.235ms      82.312us       2.962ms         5.70%       2.962ms     197.447us           0 b           0 b     142.50 Mb     142.50 Mb            15  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.67%     289.662us         3.65%       1.582ms     105.476us       0.000us         0.00%       1.864ms     124.296us           0 b           0 b    -102.50 Mb    -243.51 Mb            15  
                                CudnnBatchNormBackward0         0.38%     165.681us         2.98%       1.292ms      86.165us       0.000us         0.00%       1.864ms     124.296us           0 b           0 b     141.01 Mb           0 b            15  
                        aten::cudnn_batch_norm_backward         1.08%     469.397us         2.60%       1.127ms      75.120us       1.864ms         3.59%       1.864ms     124.296us           0 b           0 b     141.01 Mb           0 b            15  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.761ms         3.39%       1.761ms     293.476us           0 b           0 b           0 b           0 b             6  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.395ms         2.68%       1.395ms     174.411us           0 b           0 b           0 b           0 b             8  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.352ms         2.60%       1.352ms     270.398us           0 b           0 b           0 b           0 b             5  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.235ms         2.38%       1.235ms      28.066us           0 b           0 b           0 b           0 b            44  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 43.358ms
Self CUDA time total: 51.987ms
