-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        41.66%      18.063ms        85.19%      36.937ms      36.937ms       0.000us         0.00%      11.785ms      11.785ms     -18.00 Mb     -18.00 Mb           0 b    -420.78 Mb             1  
                                               aten::to         0.19%      83.872us        16.79%       7.281ms     383.222us       0.000us         0.00%       6.320ms     332.636us           0 b           0 b      18.00 Mb           0 b            19  
                                         aten::_to_copy         0.21%      92.530us        16.60%       7.197ms       3.599ms       0.000us         0.00%       6.320ms       3.160ms           0 b           0 b      18.00 Mb           0 b             2  
                                            aten::copy_         0.22%      95.583us        16.18%       7.014ms       3.507ms       6.320ms        12.16%       6.320ms       3.160ms           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync        15.98%       6.927ms        15.98%       6.927ms       1.385ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                              Optimizer.step#AdamW.step         7.83%       3.395ms        12.02%       5.210ms       5.210ms       0.000us         0.00%     178.880us     178.880us           0 b          -4 b           0 b      -2.80 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.55%     238.521us         6.85%       2.968ms     197.883us       0.000us         0.00%       8.017ms     534.456us           0 b           0 b     -90.34 Mb    -205.00 Mb            15  
                                   ConvolutionBackward0         0.42%     184.072us         5.98%       2.594ms     172.948us       0.000us         0.00%       7.648ms     509.855us           0 b           0 b     114.66 Mb           0 b            15  
                             aten::convolution_backward         2.92%       1.267ms         5.56%       2.410ms     160.677us       7.648ms        14.71%       7.648ms     509.855us           0 b           0 b     114.66 Mb     112.00 Mb            15  
                                       cudaLaunchKernel         4.96%       2.150ms         4.96%       2.150ms       9.864us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           218  
                                       aten::batch_norm         0.11%      48.251us         3.71%       1.610ms     107.345us       0.000us         0.00%       1.075ms      71.682us           0 b           0 b     143.01 Mb           0 b            15  
                                           aten::conv2d         0.17%      72.880us         3.71%       1.610ms     107.301us       0.000us         0.00%       2.962ms     197.447us           0 b           0 b     142.50 Mb           0 b            15  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.67%     289.662us         3.65%       1.582ms     105.476us       0.000us         0.00%       1.864ms     124.296us           0 b           0 b    -102.50 Mb    -243.51 Mb            15  
                           aten::_batch_norm_impl_index         0.21%      89.530us         3.60%       1.562ms     104.129us       0.000us         0.00%       1.075ms      71.682us           0 b           0 b     143.01 Mb           0 b            15  
                                      aten::convolution         0.44%     188.725us         3.54%       1.537ms     102.443us       0.000us         0.00%       2.962ms     197.447us           0 b           0 b     142.50 Mb           0 b            15  
                                 aten::cudnn_batch_norm         1.52%     659.941us         3.40%       1.472ms      98.160us       1.075ms         2.07%       1.075ms      71.682us           0 b           0 b     143.01 Mb           0 b            15  
                                     aten::_convolution         0.26%     113.232us         3.11%       1.348ms      89.861us       0.000us         0.00%       2.962ms     197.447us           0 b           0 b     142.50 Mb           0 b            15  
                                CudnnBatchNormBackward0         0.38%     165.681us         2.98%       1.292ms      86.165us       0.000us         0.00%       1.864ms     124.296us           0 b           0 b     141.01 Mb           0 b            15  
                                aten::cudnn_convolution         1.83%     791.978us         2.85%       1.235ms      82.312us       2.962ms         5.70%       2.962ms     197.447us           0 b           0 b     142.50 Mb     142.50 Mb            15  
                        aten::cudnn_batch_norm_backward         1.08%     469.397us         2.60%       1.127ms      75.120us       1.864ms         3.59%       1.864ms     124.296us           0 b           0 b     141.01 Mb           0 b            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 43.358ms
Self CUDA time total: 51.987ms
