-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     119.382ms        50.62%     119.382ms     119.382ms           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleBilinea...         0.01%       8.330us         0.10%     136.911us     136.911us       0.000us         0.00%      60.699ms      60.699ms           0 b           0 b      12.00 Kb           0 b             1  
                            UpsampleBilinear2DBackward0         0.01%      11.500us         0.10%     128.581us     128.581us       0.000us         0.00%      60.699ms      60.699ms           0 b           0 b      12.00 Kb           0 b             1  
                     aten::upsample_bilinear2d_backward         0.02%      28.590us         0.09%     117.081us     117.081us      60.461ms        25.64%      60.699ms      60.699ms           0 b           0 b      12.00 Kb     -47.99 Mb             1  
void at::native::(anonymous namespace)::upsample_bil...         0.00%       0.000us         0.00%       0.000us       0.000us      60.461ms        25.64%      60.461ms      60.461ms           0 b           0 b           0 b           0 b             1  
                                          ProfilerStep*        14.41%      19.303ms        97.37%     130.390ms     130.390ms       0.000us         0.00%      22.568ms      22.568ms     -18.00 Mb     -18.00 Mb           0 b      -1.77 Gb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.11%     146.670us         1.48%       1.978ms     219.738us       0.000us         0.00%      22.253ms       2.473ms           0 b           0 b    -644.72 Mb      -1.05 Gb             9  
                                   ConvolutionBackward0         0.06%      86.771us         1.31%       1.757ms     195.255us       0.000us         0.00%      21.551ms       2.395ms           0 b           0 b     433.42 Mb           0 b             9  
                             aten::convolution_backward         0.56%     747.117us         1.25%       1.671ms     185.613us      18.687ms         7.92%      21.551ms       2.395ms           0 b           0 b     433.42 Mb      48.01 Mb             9  
                                            aten::copy_         0.15%     206.111us         5.45%       7.302ms     663.797us       8.595ms         3.64%       8.595ms     781.396us           0 b           0 b           0 b           0 b            11  
                                           aten::conv2d         0.03%      43.701us         0.95%       1.272ms     141.299us       0.000us         0.00%       8.472ms     941.340us           0 b           0 b     622.14 Mb           0 b             9  
                                      aten::convolution         0.08%     112.650us         0.92%       1.228ms     136.444us       0.000us         0.00%       8.472ms     941.340us           0 b           0 b     622.14 Mb           0 b             9  
                                     aten::_convolution         0.09%     117.021us         0.83%       1.115ms     123.927us       0.000us         0.00%       8.472ms     941.340us           0 b           0 b     622.14 Mb           0 b             9  
                                aten::cudnn_convolution         0.46%     610.369us         0.66%     880.122us      97.791us       6.573ms         2.79%       6.573ms     730.301us           0 b           0 b     622.14 Mb     622.14 Mb             9  
                                               aten::to         0.05%      65.642us         5.52%       7.387ms     568.208us       0.000us         0.00%       6.447ms     495.912us           0 b           0 b      18.00 Mb           0 b            13  
                                         aten::_to_copy         0.07%      98.472us         5.47%       7.321ms       3.661ms       0.000us         0.00%       6.447ms       3.223ms           0 b           0 b      18.00 Mb           0 b             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.447ms         2.73%       6.447ms       3.223ms           0 b           0 b           0 b           0 b             2  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       4.976ms         2.11%       4.976ms       1.659ms           0 b           0 b           0 b           0 b             3  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.04%      48.070us         0.25%     331.334us     110.445us       0.000us         0.00%       4.470ms       1.490ms           0 b           0 b    -336.00 Mb    -672.00 Mb             3  
                                CudnnBatchNormBackward0         0.03%      33.842us         0.21%     283.264us      94.421us       0.000us         0.00%       4.470ms       1.490ms           0 b           0 b     336.00 Mb           0 b             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 133.910ms
Self CUDA time total: 235.817ms
