-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        14.41%      19.303ms        97.37%     130.390ms     130.390ms       0.000us         0.00%      22.568ms      22.568ms     -18.00 Mb     -18.00 Mb           0 b      -1.77 Gb             1  
                                             aten::item         0.06%      83.141us        73.17%      97.985ms       2.512ms       0.000us         0.00%       4.159us       0.107us           0 b           0 b           0 b           0 b            39  
                              aten::_local_scalar_dense         0.09%     117.976us        73.11%      97.902ms       2.510ms       4.159us         0.00%       4.159us       0.107us           0 b           0 b           0 b           0 b            39  
                                  cudaStreamSynchronize        72.97%      97.716ms        72.97%      97.716ms      19.543ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                               aten::to         0.05%      65.642us         5.52%       7.387ms     568.208us       0.000us         0.00%       6.447ms     495.912us           0 b           0 b      18.00 Mb           0 b            13  
                                         aten::_to_copy         0.07%      98.472us         5.47%       7.321ms       3.661ms       0.000us         0.00%       6.447ms       3.223ms           0 b           0 b      18.00 Mb           0 b             2  
                                            aten::copy_         0.15%     206.111us         5.45%       7.302ms     663.797us       8.595ms         3.64%       8.595ms     781.396us           0 b           0 b           0 b           0 b            11  
                                        cudaMemcpyAsync         5.29%       7.090ms         5.29%       7.090ms       1.418ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                              Optimizer.step#AdamW.step         1.34%       1.788ms         2.01%       2.691ms       2.691ms       0.000us         0.00%     119.744us     119.744us           0 b          -4 b           0 b      -1.42 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.11%     146.670us         1.48%       1.978ms     219.738us       0.000us         0.00%      22.253ms       2.473ms           0 b           0 b    -644.72 Mb      -1.05 Gb             9  
                                   ConvolutionBackward0         0.06%      86.771us         1.31%       1.757ms     195.255us       0.000us         0.00%      21.551ms       2.395ms           0 b           0 b     433.42 Mb           0 b             9  
                             aten::convolution_backward         0.56%     747.117us         1.25%       1.671ms     185.613us      18.687ms         7.92%      21.551ms       2.395ms           0 b           0 b     433.42 Mb      48.01 Mb             9  
                                       cudaLaunchKernel         0.99%       1.323ms         0.99%       1.323ms      11.306us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           117  
                                           aten::conv2d         0.03%      43.701us         0.95%       1.272ms     141.299us       0.000us         0.00%       8.472ms     941.340us           0 b           0 b     622.14 Mb           0 b             9  
                                      aten::convolution         0.08%     112.650us         0.92%       1.228ms     136.444us       0.000us         0.00%       8.472ms     941.340us           0 b           0 b     622.14 Mb           0 b             9  
                                     aten::_convolution         0.09%     117.021us         0.83%       1.115ms     123.927us       0.000us         0.00%       8.472ms     941.340us           0 b           0 b     622.14 Mb           0 b             9  
                                aten::cudnn_convolution         0.46%     610.369us         0.66%     880.122us      97.791us       6.573ms         2.79%       6.573ms     730.301us           0 b           0 b     622.14 Mb     622.14 Mb             9  
                                             aten::add_         0.21%     282.142us         0.34%     453.625us      15.642us       2.609ms         1.11%       2.609ms      89.958us           0 b           0 b           0 b           0 b            29  
                                       aten::batch_norm         0.01%      11.850us         0.30%     398.405us     132.802us       0.000us         0.00%       2.593ms     864.306us           0 b           0 b     336.00 Mb           0 b             3  
                           aten::_batch_norm_impl_index         0.02%      25.861us         0.29%     386.555us     128.852us       0.000us         0.00%       2.593ms     864.306us           0 b           0 b     336.00 Mb           0 b             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 133.910ms
Self CUDA time total: 235.817ms
