-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        30.07%      17.365ms        89.61%      51.742ms      51.742ms       0.000us         0.00%      17.713ms      17.713ms     -18.00 Mb     -18.00 Mb           0 b    -810.85 Mb             1  
                                             aten::item         0.25%     142.331us        29.66%      17.124ms     176.541us       0.000us         0.00%       4.448us       0.046us           0 b           0 b           0 b           0 b            97  
                              aten::_local_scalar_dense         0.27%     158.582us        29.41%      16.982ms     175.074us       4.448us         0.01%       4.448us       0.046us           0 b           0 b           0 b           0 b            97  
                                  cudaStreamSynchronize        29.06%      16.781ms        29.06%      16.781ms       3.356ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                               aten::to         0.13%      72.450us        11.02%       6.361ms     334.772us       0.000us         0.00%       5.543ms     291.751us           0 b           0 b      18.00 Mb           0 b            19  
                                         aten::_to_copy         0.16%      90.542us        10.89%       6.288ms       3.144ms       0.000us         0.00%       5.543ms       2.772ms           0 b           0 b      18.00 Mb           0 b             2  
                                            aten::copy_         0.17%     100.320us        10.59%       6.115ms       3.058ms       5.543ms         6.38%       5.543ms       2.772ms           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync        10.49%       6.058ms        10.49%       6.058ms       1.212ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                              Optimizer.step#AdamW.step         5.77%       3.332ms         8.32%       4.802ms       4.802ms       0.000us         0.00%     558.940us     558.940us           0 b          -4 b           0 b     -12.11 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.36%     206.541us         4.88%       2.817ms     187.804us       0.000us         0.00%      17.153ms       1.144ms           0 b           0 b    -175.03 Mb    -408.00 Mb            15  
                                   ConvolutionBackward0         0.28%     162.841us         4.34%       2.505ms     166.993us       0.000us         0.00%      16.404ms       1.094ms           0 b           0 b     232.97 Mb           0 b            15  
                             aten::convolution_backward         2.07%       1.197ms         4.06%       2.342ms     156.137us      16.404ms        18.87%      16.404ms       1.094ms           0 b           0 b     232.97 Mb     222.00 Mb            15  
                                       cudaLaunchKernel         3.83%       2.209ms         3.83%       2.209ms       9.605us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           230  
                                       aten::batch_norm         0.08%      48.343us         3.30%       1.906ms     127.081us       0.000us         0.00%       2.106ms     140.415us           0 b           0 b     282.02 Mb           0 b            15  
                           aten::_batch_norm_impl_index         0.16%      92.310us         3.22%       1.858ms     123.859us       0.000us         0.00%       2.106ms     140.415us           0 b           0 b     282.02 Mb           0 b            15  
                                           aten::conv2d         0.13%      77.660us         3.17%       1.831ms     122.052us       0.000us         0.00%       7.089ms     472.584us           0 b           0 b     282.00 Mb           0 b            15  
                                 aten::cudnn_batch_norm         1.26%     728.457us         3.06%       1.766ms     117.705us       2.106ms         2.42%       2.106ms     140.415us           0 b           0 b     282.02 Mb           0 b            15  
                                      aten::convolution         0.34%     196.973us         3.04%       1.753ms     116.875us       0.000us         0.00%       7.089ms     472.584us           0 b           0 b     282.00 Mb           0 b            15  
                                     aten::_convolution         0.21%     120.631us         2.69%       1.556ms     103.743us       0.000us         0.00%       7.089ms     472.584us           0 b           0 b     282.00 Mb           0 b            15  
                                aten::cudnn_convolution         1.61%     931.644us         2.49%       1.436ms      95.701us       7.089ms         8.15%       7.089ms     472.584us           0 b           0 b     282.00 Mb     282.00 Mb            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 57.742ms
Self CUDA time total: 86.953ms
