-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      44.720ms        51.43%      44.720ms      44.720ms           0 b           0 b           0 b           0 b             1  
                                          ProfilerStep*        30.07%      17.365ms        89.61%      51.742ms      51.742ms       0.000us         0.00%      17.713ms      17.713ms     -18.00 Mb     -18.00 Mb           0 b    -810.85 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.36%     206.541us         4.88%       2.817ms     187.804us       0.000us         0.00%      17.153ms       1.144ms           0 b           0 b    -175.03 Mb    -408.00 Mb            15  
                                   ConvolutionBackward0         0.28%     162.841us         4.34%       2.505ms     166.993us       0.000us         0.00%      16.404ms       1.094ms           0 b           0 b     232.97 Mb           0 b            15  
                             aten::convolution_backward         2.07%       1.197ms         4.06%       2.342ms     156.137us      16.404ms        18.87%      16.404ms       1.094ms           0 b           0 b     232.97 Mb     222.00 Mb            15  
                                           aten::conv2d         0.13%      77.660us         3.17%       1.831ms     122.052us       0.000us         0.00%       7.089ms     472.584us           0 b           0 b     282.00 Mb           0 b            15  
                                      aten::convolution         0.34%     196.973us         3.04%       1.753ms     116.875us       0.000us         0.00%       7.089ms     472.584us           0 b           0 b     282.00 Mb           0 b            15  
                                     aten::_convolution         0.21%     120.631us         2.69%       1.556ms     103.743us       0.000us         0.00%       7.089ms     472.584us           0 b           0 b     282.00 Mb           0 b            15  
                                aten::cudnn_convolution         1.61%     931.644us         2.49%       1.436ms      95.701us       7.089ms         8.15%       7.089ms     472.584us           0 b           0 b     282.00 Mb     282.00 Mb            15  
                                               aten::to         0.13%      72.450us        11.02%       6.361ms     334.772us       0.000us         0.00%       5.543ms     291.751us           0 b           0 b      18.00 Mb           0 b            19  
                                         aten::_to_copy         0.16%      90.542us        10.89%       6.288ms       3.144ms       0.000us         0.00%       5.543ms       2.772ms           0 b           0 b      18.00 Mb           0 b             2  
                                            aten::copy_         0.17%     100.320us        10.59%       6.115ms       3.058ms       5.543ms         6.38%       5.543ms       2.772ms           0 b           0 b           0 b           0 b             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.543ms         6.38%       5.543ms       2.772ms           0 b           0 b           0 b           0 b             2  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       3.946ms         4.54%       3.946ms      59.791us           0 b           0 b           0 b           0 b            66  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.43%     247.572us         2.48%       1.434ms      95.610us       0.000us         0.00%       3.443ms     229.509us           0 b           0 b    -198.00 Mb    -480.02 Mb            15  
                                CudnnBatchNormBackward0         0.27%     155.400us         2.05%       1.187ms      79.105us       0.000us         0.00%       3.443ms     229.509us           0 b           0 b     282.02 Mb           0 b            15  
                        aten::cudnn_batch_norm_backward         0.77%     444.267us         1.79%       1.031ms      68.745us       3.443ms         3.96%       3.443ms     229.509us           0 b           0 b     282.02 Mb           0 b            15  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.385ms         2.74%       2.385ms     476.912us           0 b           0 b           0 b           0 b             5  
sm86_xmma_wgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us       2.278ms         2.62%       2.278ms     569.525us           0 b           0 b           0 b           0 b             4  
                                       aten::batch_norm         0.08%      48.343us         3.30%       1.906ms     127.081us       0.000us         0.00%       2.106ms     140.415us           0 b           0 b     282.02 Mb           0 b            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 57.742ms
Self CUDA time total: 86.953ms
