-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.25%       1.865ms        83.28%     620.971ms     310.485ms       0.000us         0.00%     221.937ms     110.968ms           0 b           0 b           0 b    -619.75 Mb             2  
                                Training Optimizer step         0.21%       1.541ms        59.46%     443.334ms     221.667ms       0.000us         0.00%       9.413ms       4.707ms           0 b           0 b    -192.23 Mb      -5.50 Kb             2  
                                             aten::item        -0.72%   -5387.911us        57.30%     427.205ms     760.151us       0.000us         0.00%       4.288us       0.008us           0 b           0 b           0 b           0 b           562  
                              aten::_local_scalar_dense         0.02%     161.734us        57.22%     426.647ms     759.159us       4.288us         0.00%       4.288us       0.008us           0 b           0 b           0 b           0 b           562  
                                  cudaStreamSynchronize        19.94%     148.670ms        56.40%     420.534ms     210.267ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          cudaHostAlloc        49.24%     367.142ms        49.24%     367.142ms      22.946ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b      43.88 Mb      43.88 Mb            16  
                                 Training Backward pass         5.31%      39.619ms        17.33%     129.214ms      64.607ms       0.000us         0.00%       4.800us       2.400us         -16 b         -16 b      -8.11 Gb      -8.16 Gb             2  
                                       cudaLaunchKernel        12.69%      94.597ms        12.69%      94.597ms      49.475us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1912  
autograd::engine::evaluate_function: ConvolutionBack...         0.15%       1.109ms         7.73%      57.641ms     613.201us       0.000us         0.00%     265.511ms       2.825ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                     Train Forward pass         1.46%      10.908ms         6.08%      45.358ms      22.679ms       0.000us         0.00%     202.527ms     101.263ms          16 b          16 b       8.72 Gb      -4.28 Gb             2  
     autograd::engine::evaluate_function: ReluBackward0         0.09%     699.820us         6.03%      44.953ms     522.712us       0.000us         0.00%      18.423ms     214.219us           0 b           0 b      -2.45 Gb      -4.90 Gb            86  
                                          ReluBackward0         0.04%     273.514us         5.94%      44.253ms     514.575us       0.000us         0.00%      18.423ms     214.219us           0 b           0 b       2.44 Gb           0 b            86  
                                             aten::add_         0.26%       1.970ms         5.90%      44.014ms      98.246us      13.983ms         1.63%      13.983ms      31.213us           0 b           0 b           0 b           0 b           448  
                               aten::threshold_backward         0.14%       1.053ms         5.90%      43.980ms     511.395us      18.423ms         2.15%      18.423ms     214.219us           0 b           0 b       2.44 Gb       2.44 Gb            86  
                                           aten::conv2d         0.10%     752.389us         2.51%      18.685ms      99.386us       0.000us         0.00%     244.138ms       1.299ms           0 b           0 b       7.58 Gb           0 b           188  
                                       aten::batch_norm         0.02%     176.211us         2.30%      17.112ms     185.999us       0.000us         0.00%      28.474ms     309.496us           0 b           0 b       2.51 Gb           0 b            92  
                           aten::_batch_norm_impl_index         0.04%     327.893us         2.27%      16.936ms     184.084us       0.000us         0.00%      28.474ms     309.496us           0 b           0 b       2.51 Gb           0 b            92  
                                 aten::cudnn_batch_norm         0.84%       6.232ms         2.23%      16.607ms     180.512us      28.474ms         3.33%      28.474ms     309.496us           0 b           0 b       2.51 Gb           0 b            92  
                                   ConvolutionBackward0         0.07%     553.356us         2.01%      14.982ms     159.380us       0.000us         0.00%     260.277ms       2.769ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.16%       8.644ms         1.94%      14.428ms     153.494us     259.167ms        30.30%     260.277ms       2.769ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 745.616ms
Self CUDA time total: 855.260ms
