-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.15%       1.109ms         7.73%      57.641ms     613.201us       0.000us         0.00%     265.511ms       2.825ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                   ConvolutionBackward0         0.07%     553.356us         2.01%      14.982ms     159.380us       0.000us         0.00%     260.277ms       2.769ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.16%       8.644ms         1.94%      14.428ms     153.494us     259.167ms        30.30%     260.277ms       2.769ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
                                           aten::conv2d         0.10%     752.389us         2.51%      18.685ms      99.386us       0.000us         0.00%     244.138ms       1.299ms           0 b           0 b       7.58 Gb           0 b           188  
                                          ProfilerStep*         0.25%       1.865ms        83.28%     620.971ms     310.485ms       0.000us         0.00%     221.937ms     110.968ms           0 b           0 b           0 b    -619.75 Mb             2  
                                     Train Forward pass         0.00%       0.000us         0.00%       0.000us       0.000us     203.094ms        23.75%     203.094ms     101.547ms           0 b           0 b           0 b           0 b             2  
                                     Train Forward pass         1.46%      10.908ms         6.08%      45.358ms      22.679ms       0.000us         0.00%     202.527ms     101.263ms          16 b          16 b       8.72 Gb      -4.28 Gb             2  
                                      aten::convolution         0.10%     710.823us         0.96%       7.124ms      75.790us       0.000us         0.00%     115.324ms       1.227ms           0 b           0 b       2.93 Gb           0 b            94  
                                     aten::_convolution         0.07%     505.874us         0.86%       6.413ms      68.228us       0.000us         0.00%     115.324ms       1.227ms           0 b           0 b       2.93 Gb           0 b            94  
                                aten::cudnn_convolution         0.48%       3.587ms         0.79%       5.870ms      62.443us     112.737ms        13.18%     112.737ms       1.199ms           0 b           0 b       2.93 Gb       2.93 Gb            94  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      73.002ms         8.54%      73.002ms     135.691us           0 b           0 b           0 b           0 b           538  
                                            aten::copy_         0.27%       2.004ms         0.56%       4.145ms      15.351us      56.942ms         6.66%      57.912ms     214.489us           0 b           0 b           0 b      -9.38 Mb           270  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.18%       1.339ms         1.78%      13.254ms     144.065us       0.000us         0.00%      51.561ms     560.445us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
                                CudnnBatchNormBackward0         0.07%     509.108us         1.60%      11.915ms     129.506us       0.000us         0.00%      51.561ms     560.445us           0 b           0 b       2.50 Gb           0 b            92  
                        aten::cudnn_batch_norm_backward         0.30%       2.270ms         1.53%      11.405ms     123.972us      51.561ms         6.03%      51.561ms     560.445us           0 b           0 b       2.50 Gb           0 b            92  
                                               aten::to         0.07%     536.139us         1.07%       7.956ms      21.977us       0.000us         0.00%      51.372ms     141.911us           0 b           0 b       7.74 Gb           0 b           362  
                                         aten::_to_copy         0.20%       1.528ms         1.00%       7.420ms      28.759us       0.000us         0.00%      51.372ms     199.116us           0 b           0 b       7.74 Gb           0 b           258  
void cudnn::bn_bw_1C11_kernel_new<__half, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      42.012ms         4.91%      42.012ms       1.616ms           0 b           0 b           0 b           0 b            26  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      34.893ms         4.08%      34.893ms     130.199us           0 b           0 b           0 b           0 b           268  
sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.284ms         3.77%      32.284ms       3.228ms           0 b           0 b           0 b           0 b            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 745.616ms
Self CUDA time total: 855.260ms
