-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        11.97%      82.799ms        94.32%     652.357ms     326.178ms       0.000us         0.00%     228.873ms     114.437ms    -121.88 Mb    -121.88 Mb           0 b     -12.99 Gb             2  
                                             aten::item         0.07%     514.892us        74.18%     513.081ms     912.956us       0.000us         0.00%       3.328us       0.006us           0 b           0 b           0 b           0 b           562  
                                  cudaStreamSynchronize        74.11%     512.612ms        74.11%     512.612ms      85.435ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                              aten::_local_scalar_dense         0.02%     151.161us        74.11%     512.566ms     912.040us       3.328us         0.00%       3.328us       0.006us           0 b           0 b           0 b           0 b           562  
                                               aten::to         0.08%     578.663us         3.78%      26.117ms      72.147us       0.000us         0.00%      58.246ms     160.901us           0 b           0 b       7.75 Gb           0 b           362  
                                         aten::_to_copy         0.26%       1.806ms         3.69%      25.538ms      98.225us       0.000us         0.00%      58.246ms     224.024us           0 b           0 b       7.75 Gb           0 b           260  
                                            aten::copy_         0.32%       2.236ms         3.14%      21.705ms      80.988us      63.806ms         5.09%      63.806ms     238.083us           0 b           0 b           0 b           0 b           268  
                                           aten::conv2d         0.14%     936.169us         2.72%      18.803ms     100.016us       0.000us         0.00%     243.935ms       1.298ms           0 b           0 b       7.58 Gb           0 b           188  
                                         Data to device         0.05%     375.403us         2.61%      18.036ms       9.018ms       0.000us         0.00%      16.887ms       8.444ms           0 b           0 b     188.50 Mb      -9.38 Mb             2  
autograd::engine::evaluate_function: ConvolutionBack...         0.19%       1.340ms         2.59%      17.940ms     190.849us       0.000us         0.00%     265.877ms       2.828ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                        cudaMemcpyAsync         2.48%      17.140ms         2.48%      17.140ms       1.714ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                   ConvolutionBackward0         0.09%     621.917us         2.30%      15.916ms     169.321us       0.000us         0.00%     260.615ms       2.773ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.23%       8.510ms         2.21%      15.294ms     162.705us     259.498ms        20.68%     260.615ms       2.773ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
                                       cudaLaunchKernel         1.79%      12.348ms         1.79%      12.348ms       6.458us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1912  
                               Optimizer.step#Adam.step         1.02%       7.073ms         1.71%      11.855ms       5.928ms       0.000us         0.00%       8.449ms       4.224ms           0 b          -8 b           0 b    -191.98 Mb             2  
                                       aten::batch_norm         0.03%     174.182us         1.16%       8.032ms      87.307us       0.000us         0.00%      28.499ms     309.769us           0 b           0 b       2.51 Gb           0 b            92  
                           aten::_batch_norm_impl_index         0.05%     326.404us         1.14%       7.858ms      85.414us       0.000us         0.00%      28.499ms     309.769us           0 b           0 b       2.51 Gb           0 b            92  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.16%       1.134ms         1.14%       7.856ms      85.387us       0.000us         0.00%      51.444ms     559.179us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
                                 aten::cudnn_batch_norm         0.45%       3.141ms         1.09%       7.532ms      81.866us      28.499ms         2.27%      28.499ms     309.769us           0 b           0 b       2.51 Gb           0 b            92  
                                      aten::convolution         0.11%     727.247us         1.02%       7.026ms      74.744us       0.000us         0.00%     115.209ms       1.226ms           0 b           0 b       2.93 Gb           0 b            94  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 691.659ms
Self CUDA time total: 1.255s
