-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     607.495ms        48.42%     607.495ms     303.748ms           0 b           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ConvolutionBack...         0.19%       1.340ms         2.59%      17.940ms     190.849us       0.000us         0.00%     265.877ms       2.828ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                   ConvolutionBackward0         0.09%     621.917us         2.30%      15.916ms     169.321us       0.000us         0.00%     260.615ms       2.773ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.23%       8.510ms         2.21%      15.294ms     162.705us     259.498ms        20.68%     260.615ms       2.773ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
                                           aten::conv2d         0.14%     936.169us         2.72%      18.803ms     100.016us       0.000us         0.00%     243.935ms       1.298ms           0 b           0 b       7.58 Gb           0 b           188  
                                          ProfilerStep*        11.97%      82.799ms        94.32%     652.357ms     326.178ms       0.000us         0.00%     228.873ms     114.437ms    -121.88 Mb    -121.88 Mb           0 b     -12.99 Gb             2  
                                      aten::convolution         0.11%     727.247us         1.02%       7.026ms      74.744us       0.000us         0.00%     115.209ms       1.226ms           0 b           0 b       2.93 Gb           0 b            94  
                                     aten::_convolution         0.07%     496.062us         0.91%       6.299ms      67.007us       0.000us         0.00%     115.209ms       1.226ms           0 b           0 b       2.93 Gb           0 b            94  
                                aten::cudnn_convolution         0.50%       3.463ms         0.83%       5.760ms      61.275us     112.622ms         8.98%     112.622ms       1.198ms           0 b           0 b       2.93 Gb       2.93 Gb            94  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      72.892ms         5.81%      72.892ms     135.487us           0 b           0 b           0 b           0 b           538  
                                            aten::copy_         0.32%       2.236ms         3.14%      21.705ms      80.988us      63.806ms         5.09%      63.806ms     238.083us           0 b           0 b           0 b           0 b           268  
                                               aten::to         0.08%     578.663us         3.78%      26.117ms      72.147us       0.000us         0.00%      58.246ms     160.901us           0 b           0 b       7.75 Gb           0 b           362  
                                         aten::_to_copy         0.26%       1.806ms         3.69%      25.538ms      98.225us       0.000us         0.00%      58.246ms     224.024us           0 b           0 b       7.75 Gb           0 b           260  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.16%       1.134ms         1.14%       7.856ms      85.387us       0.000us         0.00%      51.444ms     559.179us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
                                CudnnBatchNormBackward0         0.07%     493.766us         0.97%       6.721ms      73.057us       0.000us         0.00%      51.444ms     559.179us           0 b           0 b       2.50 Gb           0 b            92  
                        aten::cudnn_batch_norm_backward         0.38%       2.645ms         0.90%       6.227ms      67.690us      51.444ms         4.10%      51.444ms     559.179us           0 b           0 b       2.50 Gb           0 b            92  
void cudnn::bn_bw_1C11_kernel_new<__half, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      41.900ms         3.34%      41.900ms       1.612ms           0 b           0 b           0 b           0 b            26  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      34.927ms         2.78%      34.927ms     130.324us           0 b           0 b           0 b           0 b           268  
sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.289ms         2.57%      32.289ms       3.229ms           0 b           0 b           0 b           0 b            10  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      30.396ms         2.42%      30.396ms     759.895us           0 b           0 b           0 b           0 b            40  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 691.659ms
Self CUDA time total: 1.255s
