model_name,epoch,train_loss,val_loss,learning_rate,T_0,logs_dir,model_dir
FoodNetExtraDW,4,5.2164,5.188,0.0045702882373436,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_4_lr_0.004570_T0_25_train_loss_5.2164_val_loss_5.1880.pt
FoodNetExtraDW,6,5.1651,5.1604,0.0041842039769345,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_6_lr_0.004184_T0_25_train_loss_5.1651_val_loss_5.1604.pt
FoodNetExtraDW,9,5.1054,5.1067,0.0034452882373436,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_9_lr_0.003445_T0_25_train_loss_5.1054_val_loss_5.1067.pt
FoodNetExtraDW,11,5.0595,5.0644,0.0028912786689409,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_11_lr_0.002891_T0_25_train_loss_5.0595_val_loss_5.0644.pt
FoodNetExtraDW,13,5.0143,5.0237,0.0023283920421821,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_13_lr_0.002328_T0_25_train_loss_5.0143_val_loss_5.0237.pt
FoodNetExtraDW,15,4.9693,4.987,0.0017919965939785,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_15_lr_0.001792_T0_25_train_loss_4.9693_val_loss_4.9870.pt
FoodNetExtraDW,18,4.906,4.9386,0.0011098205883018,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_18_lr_0.001110_T0_25_train_loss_4.9060_val_loss_4.9386.pt
FoodNetExtraDW,20,4.8716,4.9203,0.0007783099699013,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_20_lr_0.000778_T0_25_train_loss_4.8716_val_loss_4.9203.pt
FoodNetExtraDW,22,4.8427,4.9067,0.0005706878874605,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_22_lr_0.000571_T0_25_train_loss_4.8427_val_loss_4.9067.pt
FoodNetExtraDW,24,4.8274,4.9023,0.005,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_10-58-45,models/best/FoodNetExtraDW_epoch_24_lr_0.005000_T0_25_train_loss_4.8274_val_loss_4.9023.pt
FoodNetExtraDW,0,0.4544,inf,0.0049822580779575,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-11-07,models/best/FoodNetExtraDW_epoch_0_lr_0.004982_T0_25_train_loss_0.4544_val_loss_inf.pt
FoodNetExtraDW,1,0.0352,inf,0.0049293121125394,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-11-07,models/best/FoodNetExtraDW_epoch_1_lr_0.004929_T0_25_train_loss_0.0352_val_loss_inf.pt
FoodNetExtraDW,0,0.4548,inf,0.0049822580779575,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_0_lr_0.004982_T0_25_train_loss_0.4548_val_loss_inf.pt
FoodNetExtraDW,1,0.0258,inf,0.0049293121125394,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_1_lr_0.004929_T0_25_train_loss_0.0258_val_loss_inf.pt
FoodNetExtraDW,2,0.0098,inf,0.0048419970932485,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_2_lr_0.004842_T0_25_train_loss_0.0098_val_loss_inf.pt
FoodNetExtraDW,3,0.0082,inf,0.0047216900300986,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_3_lr_0.004722_T0_25_train_loss_0.0082_val_loss_inf.pt
FoodNetExtraDW,4,0.006,inf,0.0045702882373436,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_4_lr_0.004570_T0_25_train_loss_0.0060_val_loss_inf.pt
FoodNetExtraDW,5,0.0045,inf,0.0043901794116981,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_5_lr_0.004390_T0_25_train_loss_0.0045_val_loss_inf.pt
FoodNetExtraDW,6,0.0028,inf,0.0041842039769345,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_6_lr_0.004184_T0_25_train_loss_0.0028_val_loss_inf.pt
FoodNetExtraDW,7,0.0019,inf,0.0039556102887027,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_7_lr_0.003956_T0_25_train_loss_0.0019_val_loss_inf.pt
FoodNetExtraDW,8,0.0017,inf,0.0037080034060214,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_12-21-10,models/best/FoodNetExtraDW_epoch_8_lr_0.003708_T0_25_train_loss_0.0017_val_loss_inf.pt
FoodNetExtraDW,0,23.649,24.51,0.0049822580779575,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_13-10-02,models/best/FoodNetExtraDW_epoch_0_lr_0.004982_T0_25_train_loss_23.6490_val_loss_24.5100.pt
FoodNetExtraDW,0,28.929,28.9527,0.0099645161559151,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_13-12-54,models/best/FoodNetExtraDW_epoch_0_lr_0.009965_T0_25_train_loss_28.9290_val_loss_28.9527.pt
FoodNetExtraDW,0,5.8426,5.6285,9.964516155915153e-05,25,/home/andrea/Documents/unimib/Supervised/Exam/logs/2024-10-25_13-13-56,models/best/FoodNetExtraDW_epoch_0_lr_0.000100_T0_25_train_loss_5.8426_val_loss_5.6285.pt
