-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     105.187ms        53.38%     105.187ms     105.187ms           0 b           0 b           0 b           0 b             1  
                                          ProfilerStep*        33.24%      47.490ms        90.90%     129.885ms     129.885ms       0.000us         0.00%      46.340ms      46.340ms     -75.00 Mb     -75.00 Mb       1.00 Mb      -1.72 Gb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.16%     233.013us         2.27%       3.248ms     216.561us       0.000us         0.00%      30.416ms       2.028ms           0 b           0 b    -386.34 Mb    -856.50 Mb            15  
                                   ConvolutionBackward0         0.12%     174.961us         2.00%       2.858ms     190.541us       0.000us         0.00%      28.868ms       1.925ms           0 b           0 b     470.16 Mb           0 b            15  
                             aten::convolution_backward         0.98%       1.402ms         1.88%       2.683ms     178.877us      28.868ms        14.65%      28.868ms       1.925ms           0 b           0 b     470.16 Mb     467.50 Mb            15  
                                               aten::to         0.08%     118.761us        18.46%      26.371ms       1.388ms       0.000us         0.00%      25.367ms       1.335ms           0 b           0 b      76.00 Mb           0 b            19  
                                         aten::_to_copy         0.10%     136.462us        18.37%      26.252ms      13.126ms       0.000us         0.00%      25.367ms      12.684ms           0 b           0 b      76.00 Mb           0 b             2  
                                            aten::copy_         0.09%     122.761us        18.20%      26.007ms      13.003ms      25.367ms        12.87%      25.367ms      12.684ms           0 b           0 b           0 b           0 b             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      25.367ms        12.87%      25.367ms      12.684ms           0 b           0 b           0 b           0 b             2  
                                           aten::conv2d         0.05%      69.370us         1.22%       1.745ms     116.336us       0.000us         0.00%      11.210ms     747.346us           0 b           0 b     593.50 Mb           0 b            15  
                                      aten::convolution         0.13%     184.061us         1.17%       1.676ms     111.711us       0.000us         0.00%      11.210ms     747.346us           0 b           0 b     593.50 Mb           0 b            15  
                                     aten::_convolution         0.09%     126.201us         1.04%       1.492ms      99.440us       0.000us         0.00%      11.210ms     747.346us           0 b           0 b     593.50 Mb           0 b            15  
                                aten::cudnn_convolution         0.61%     877.532us         0.96%       1.365ms      91.027us      11.210ms         5.69%      11.210ms     747.346us           0 b           0 b     593.50 Mb     593.50 Mb            15  
autograd::engine::evaluate_function: CudnnBatchNormB...         3.77%       5.392ms         5.30%       7.568ms     504.514us       0.000us         0.00%       7.944ms     529.580us           0 b           0 b    -416.00 Mb   -1008.01 Mb            15  
                                CudnnBatchNormBackward0         0.13%     188.004us         1.52%       2.175ms     145.021us       0.000us         0.00%       7.944ms     529.580us           0 b           0 b     592.01 Mb           0 b            15  
                        aten::cudnn_batch_norm_backward         0.62%     884.312us         1.39%       1.987ms     132.487us       7.944ms         4.03%       7.944ms     529.580us           0 b           0 b     592.01 Mb           0 b            15  
sm86_xmma_wgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us       7.491ms         3.80%       7.491ms       1.873ms           0 b           0 b           0 b           0 b             4  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.971ms         3.03%       5.971ms       1.194ms           0 b           0 b           0 b           0 b             5  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       5.694ms         2.89%       5.694ms     123.790us           0 b           0 b           0 b           0 b            46  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.523ms         2.80%       5.523ms       1.105ms           0 b           0 b           0 b           0 b             5  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 142.887ms
Self CUDA time total: 197.045ms
