-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        33.24%      47.490ms        90.90%     129.885ms     129.885ms       0.000us         0.00%      46.340ms      46.340ms     -75.00 Mb     -75.00 Mb       1.00 Mb      -1.72 Gb             1  
                                             aten::item         0.11%     151.410us        30.06%      42.950ms     442.780us       0.000us         0.00%       3.903us       0.040us           0 b           0 b           0 b           0 b            97  
                              aten::_local_scalar_dense         0.10%     146.732us        29.95%      42.798ms     441.219us       3.903us         0.00%       3.903us       0.040us           0 b           0 b           0 b           0 b            97  
                                  cudaStreamSynchronize        29.82%      42.602ms        29.82%      42.602ms       8.520ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                               aten::to         0.08%     118.761us        18.46%      26.371ms       1.388ms       0.000us         0.00%      25.367ms       1.335ms           0 b           0 b      76.00 Mb           0 b            19  
                                         aten::_to_copy         0.10%     136.462us        18.37%      26.252ms      13.126ms       0.000us         0.00%      25.367ms      12.684ms           0 b           0 b      76.00 Mb           0 b             2  
                                            aten::copy_         0.09%     122.761us        18.20%      26.007ms      13.003ms      25.367ms        12.87%      25.367ms      12.684ms           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync        18.15%      25.933ms        18.15%      25.933ms       5.187ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
autograd::engine::evaluate_function: CudnnBatchNormB...         3.77%       5.392ms         5.30%       7.568ms     504.514us       0.000us         0.00%       7.944ms     529.580us           0 b           0 b    -416.00 Mb   -1008.01 Mb            15  
                              Optimizer.step#AdamW.step         2.52%       3.603ms         4.97%       7.095ms       7.095ms       0.000us         0.00%     175.135us     175.135us           0 b          -4 b           0 b      -2.80 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.16%     233.013us         2.27%       3.248ms     216.561us       0.000us         0.00%      30.416ms       2.028ms           0 b           0 b    -386.34 Mb    -856.50 Mb            15  
                                   ConvolutionBackward0         0.12%     174.961us         2.00%       2.858ms     190.541us       0.000us         0.00%      28.868ms       1.925ms           0 b           0 b     470.16 Mb           0 b            15  
                             aten::convolution_backward         0.98%       1.402ms         1.88%       2.683ms     178.877us      28.868ms        14.65%      28.868ms       1.925ms           0 b           0 b     470.16 Mb     467.50 Mb            15  
                                       cudaLaunchKernel         1.70%       2.430ms         1.70%       2.430ms      11.354us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           214  
                                    aten::_foreach_sqrt         1.33%       1.905ms         1.64%       2.348ms       2.348ms      21.984us         0.01%      21.984us      21.984us           0 b           0 b       2.80 Mb           0 b             1  
                                CudnnBatchNormBackward0         0.13%     188.004us         1.52%       2.175ms     145.021us       0.000us         0.00%       7.944ms     529.580us           0 b           0 b     592.01 Mb           0 b            15  
                        aten::cudnn_batch_norm_backward         0.62%     884.312us         1.39%       1.987ms     132.487us       7.944ms         4.03%       7.944ms     529.580us           0 b           0 b     592.01 Mb           0 b            15  
                                           aten::conv2d         0.05%      69.370us         1.22%       1.745ms     116.336us       0.000us         0.00%      11.210ms     747.346us           0 b           0 b     593.50 Mb           0 b            15  
                                       aten::batch_norm         0.04%      52.510us         1.21%       1.734ms     115.615us       0.000us         0.00%       4.639ms     309.283us           0 b           0 b     592.51 Mb           0 b            15  
                           aten::_batch_norm_impl_index         0.07%      93.660us         1.18%       1.682ms     112.115us       0.000us         0.00%       4.639ms     309.283us           0 b           0 b     592.51 Mb           0 b            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 142.887ms
Self CUDA time total: 197.045ms
